# E. Martioli, LNA -- April 9 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
61  542.139 761.739
61  542.567 857.586
61  543.413 1048.15
61  544.001 1181.21
61  545.160 1449.58
61  546.419 1746.33
61  547.072 1905.61
61  547.485 2001.59
62  533.704 42.1840
62  534.050 116.598
62  534.793 280.082
62  535.461 425.527
62  536.111 570.408
62  536.927 751.498
62  537.478 875.654
62  538.294 1059.90
62  539.259 1282.70
62  541.549 1827.06
62  542.139 1971.36
62  542.404 2036.84
63  528.690 46.7553
63  529.183 155.087
63  529.439 210.963
63  530.052 346.663
63  530.742 500.607
63  531.023 563.896
63  532.289 847.839
63  533.704 1173.40
63  535.183 1522.92
63  536.110 1748.70
63  536.925 1947.99
63  537.265 2033.63
64  523.884 76.2594
64  523.955 90.9712
64  525.277 388.037
64  526.008 551.565
64  526.979 772.242
64  527.749 948.784
64  528.107 1032.53
64  529.182 1284.89
64  530.056 1493.12
64  531.751 1908.30
64  532.077 1990.46
64  532.292 2046.10
65  518.736 8.55936
65  519.376 154.485
65  519.719 231.110
65  520.509 410.278
65  521.855 715.088
65  523.322 1056.61
65  524.017 1222.37
65  525.280 1526.09
65  526.144 1738.44
65  526.978 1946.09
65  527.295 2026.57
66  514.074 32,2610
66  514.392 104.009
66  514.816 199.485
66  515.961 459.924
66  516.576 603.420
66  517.366 784.767
66  517.762 878.548
66  518.254 993.796
66  519.385 1263.84
66  520.387 1507.90
66  521.661 1825.39
66  522.123 1943.44
67  509.412 33.7047
67  509.649 88.1149
67  510.060 182.412
67  511.128 427.872
67  512.250 689.286
67  514.176 1146.77
67  514.822 1303.25
67  515.860 1559.40
67  516.345 1680.69
67  516.892 1819.12
67  517.697 2025.44
68  504.895 50.0956
68  505.188 117.705
68  505.533 198.273
68  506.349 387.015
68  506.610 448.990
68  507.467 648.438
68  508.260 838.871
68  509.803 1210.16
68  511.125 1538.06
68  512.248 1823.15
68  512.848 1978.72
68  513.111 2048.00
69  501.718 361.469
69  501.982 423.015
69  502.370 515.133
69  502.865 632.628
69  503.533 792.486
69  503.922 885.804
69  504.471 1019.48
69  504.980 1143.63
69  505.798 1346.27
69  506.204 1447.85
69  506.614 1551.54
69  506.933 1632.42
