# E. Martioli, LNA -- April 9 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
86 436.592 714.358
86 437.411 939.624
86 438.187 1155.63
86 439.111 1417.53
86 440.099 1703.58
86 440.887 1937.51
86 440.990 1967.89
87 430.717 35.6483
87 431.431 225.937
87 432.528 521.741
87 433.201 706.447
87 434.089 951.612
87 434.908 1181.95
87 435.937 1477.03
87 436.783 1724.91
87 437.595 1967.34
87 437.817 2035.20
88 427.335 10.3445
88 428.206 244.283
88 429.180 509.799
88 429.730 661.137
88 430.497 873.184
88 431.181 1066.36
88 431.842 1254.81
88 432.891 1560.16
88 433.534 1750.16
88 434.088 1918.01
88 434.432 2022.58
89 424.109 13.6658
89 424.839 211.437
89 425.523 398.358
89 426.033 538.772
89 426.994 806.404
89 427.515 953.516
89 428.290 1174.19
89 429.181 1433.13
89 430.065 1695.95
89 430.718 1892.63
89 431.180 2034.74
90 420.889 5.30096
90 421.483 166.887
90 422.264 381.604
90 422.916 562.587
90 423.723 789.471
90 424.326 961.252
90 425.118 1189.05
90 425.626 1336.73
90 426.034 1457.20
90 426.994 1745.12
90 427.516 1904.48
90 427.832 2002.34
91 417.806 21.2039
91 418.714 271.633
91 419.493 488.391
91 420.197 686.209
91 420.997 914.619
91 421.743 1130.08
91 422.698 1411.30
91 423.329 1600.00
91 424.109 1838.58
91 424.760 2040.01
92 414.817 51.0071
92 415.473 232.206
92 416.174 428.783
92 417.051 677.414
92 417.884 917.037
92 418.713 1158.27
92 419.493 1389.81
92 420.226 1611.13
92 420.841 1799.53
92 421.306 1944.41
92 421.483 1999.65
93 411.672 23.8176
93 412.404 228.795
93 413.031 406.258
93 413.803 625.935
93 414.819 918.678
93 415.914 1242.03
93 416.863 1528.01
93 417.806 1818.40
93 418.412 2009.37
94 408.653 19.9599
94 409.475 251.638
94 410.262 475.857
94 410.932 669.208
94 411.672 884.417
94 412.268 1060.34
94 412.864 1237.95
94 413.547 1444.62
94 414.364 1696.42
94 414.817 1838.38
94 415.472 2046.59
95 405.925 86.6772
95 406.744 319.780
95 407.386 504.626
95 408.347 783.956
95 409.136 1017.03
95 409.873 1238.49
95 410.704 1492.45
95 411.576 1763.94
95 411.849 1850.72
95 412.404 2028.54
96 403.029 93.4598
96 403.545 241.766
96 404.334 471.008
96 404.993 662.105
96 405.925 937.770
96 406.433 1090.17
96 407.549 1431.20
96 408.347 1679.98
96 408.914 1859.95
96 409.475 2041.35
97 399.872 14.0723
97 400.510 197.430
97 401.386 451.988
97 402.208 693.913
97 403.029 939.308
97 403.756 1159.38
97 404.596 1418.50
97 405.352 1656.23
97 405.924 1838.63
97 406.433 2003.41
98 397.215 65.5648
98 397.935 274.909
98 399.049 602.852
98 400.189 945.178
98 400.905 1163.76
98 401.471 1339.11
98 402.333 1610.95
98 403.029 1834.03
98 403.657 2038.81
99 394.427 68.2000
99 395.277 317.254
99 396.402 652.688
99 397.448 968.957
99 398.488 1290.94
99 399.172 1506.44
99 400.105 1806.60
99 400.820 2041.78
100 391.641 59.8060
100 392.379 277.773
100 392.966 453.079
100 394.207 828.053
100 394.750 994.666
100 395.151 1119.06
101 389.197 141.477
101 389.541 243.750
101 390.310 474.838
101 390.755 609.787
101 391.191 742.860
101 391.476 830.763
101 391.641 880.981
